id,type,gate,instruction and criteria
\texttt{preg\_mentioned},noul,--,"The 'narrative' states that a person involved in the crash was pregnant. \newline \textit{true}: Any explicit statement that a driver, passenger, pedestrian, or other involved person is pregnant, e.g. 'was 6 months pregnant', 'pregnant driver', 'expecting'. \newline \textit{false}: No pregnancy is stated. Mentions of children, infants, or car seats do not count."
\texttt{medical\_episode},noul,--,"The 'narrative' states that a driver experienced a medical event (seizure, fainting, blackout, diabetic episode, heart attack, stroke, or similar) before or during the crash. \newline \textit{true}: A medical event of the driver is described as occurring before or during the crash, whether confirmed or suspected by the officer. \newline \textit{false}: No medical event of the driver is described. Injuries caused by the crash, or transport to a hospital for crash injuries, do not count."
\texttt{drug\_involved},noul,--,"The 'narrative' states or suspects that a driver was under the influence of drugs or medication (not alcohol). \newline \textit{true}: Any statement that a driver used, was impaired by, or was suspected of using illegal drugs, marijuana, prescription medication, or other substances other than alcohol. \newline \textit{false}: No drug or medication involvement of a driver is mentioned. Alcohol-only impairment does not count."
\texttt{alcohol\_involved},noul,--,"The 'narrative' states or suspects that a driver had been drinking alcohol or was intoxicated by alcohol. \newline \textit{true}: Any statement that a driver had been drinking, smelled of alcohol, was DWI or DUI, or was suspected of alcohol intoxication. \newline \textit{false}: No alcohol involvement of a driver is mentioned."
\texttt{hydroplane},noul,--,"The 'narrative' states that a vehicle hydroplaned or lost traction because of water on the roadway. \newline \textit{true}: The word hydroplane appears, or the narrative says a vehicle lost traction, skidded, or lost control because of rain, wet roadway, or standing water. \newline \textit{false}: No loss of traction due to water is described. Wet conditions mentioned without loss of control do not count."
\texttt{vehicle\_defect},noul,--,"The 'narrative' states that a mechanical failure of a vehicle (tire blowout, brake failure, steering failure, or similar) contributed to the crash. \newline \textit{true}: A tire blowout, tread separation, brake failure, steering failure, stuck accelerator, or other mechanical defect is described as contributing to the crash. \newline \textit{false}: No mechanical failure is described. Damage caused by the crash does not count."
\texttt{fatigue},noul,--,"The 'narrative' states that a driver fell asleep, dozed off, was drowsy, or was fatigued. \newline \textit{true}: A driver is described as asleep, falling asleep, nodding off, drowsy, tired, or fatigued before the crash. \newline \textit{false}: No sleep or fatigue of a driver is mentioned."
\texttt{aggression},noul,--,"The 'narrative' describes road rage, aggressive driving directed at another road user, or a physical or verbal confrontation between people involved. \newline \textit{true}: Road rage, brake-checking, chasing, threatening, arguing, fighting, or a confrontation before or after the crash is described. \newline \textit{false}: No aggression or confrontation is described. Ordinary traffic violations without hostility do not count. A police pursuit, a traffic stop, an officer chasing or stopping a vehicle, and a driver evading or fleeing from police do not count. A driver leaving the scene of the crash does not count by itself."
\texttt{intentional},noul,--,"The 'narrative' states or suspects that a vehicle was used intentionally to cause the crash (assault with a vehicle, deliberate ramming, or a suicide attempt). \newline \textit{true}: The crash is described as deliberate, intentional, on purpose, an assault with a vehicle, or a suicide attempt. \newline \textit{false}: The crash is described as unintentional, or intent is not mentioned."
\texttt{hit\_and\_run},noul,--,"The 'narrative' states that a driver left the scene of the crash without stopping to provide information. \newline \textit{true}: A driver fled, left the scene, failed to stop and render aid, or drove away without exchanging information. \newline \textit{false}: All drivers remained at the scene, or leaving the scene is not mentioned."
\texttt{animal\_involved},noul,--,"The 'narrative' states that an animal on or near the roadway was involved in the crash or in the driver's evasive action. \newline \textit{true}: A vehicle struck an animal, or swerved or braked to avoid an animal. \newline \textit{false}: No animal is mentioned as involved."
\texttt{wrong\_way},noul,--,"The 'narrative' states that a vehicle was traveling the wrong way on a roadway, ramp, or lane designated for the opposite direction. \newline \textit{true}: A vehicle is described as going the wrong way, wrong direction, or against traffic on a one-way road, divided highway, or ramp. \newline \textit{false}: No wrong-way travel is described. Crossing the center line during a loss of control does not count."
\texttt{phone\_use},noul,--,"The 'narrative' states that a driver was using a phone or mobile device at the time of the crash. \newline \textit{true}: A driver is described as texting, talking on a phone, looking at a phone, or using a mobile device. \newline \textit{false}: No phone or device use is mentioned. General 'distracted' or 'inattention' without a device does not count."
\texttt{unbelted},noul,--,"The 'narrative' states that a vehicle occupant was not wearing a seat belt. \newline \textit{true}: An occupant is described as unrestrained, not wearing a seat belt, or unbelted. \newline \textit{false}: Seat belt use is not mentioned, or occupants are described as belted."
\texttt{transported},noul,--,"The 'narrative' states that a person was transported to a hospital or medical facility. \newline \textit{true}: A person was transported by EMS, ambulance, helicopter, or private vehicle to a hospital, medical center, or clinic. \newline \textit{false}: No transport to a medical facility is mentioned, or people refused transport."
\texttt{witness\_cited},noul,--,"The 'narrative' cites a statement from a witness who was not a driver or occupant of the involved vehicles. \newline \textit{true}: A witness, bystander, or independent observer's statement is described. \newline \textit{false}: Only driver, passenger, or officer statements appear, or no statements appear."
\texttt{medical\_type},choice,\texttt{medical\_episode},"Which type of driver medical event does the 'narrative' describe as occurring before or during the crash? \newline \textit{seizure}: Seizure or epileptic episode. \newline \textit{loss\_of\_consciousness}: Fainting, passing out, blacking out, syncope, or becoming unresponsive without a stated cause. \newline \textit{diabetic}: Diabetic episode, low blood sugar, hypoglycemia, or insulin-related event. \newline \textit{cardiac}: Heart attack, cardiac arrest, chest pain, or other heart event. \newline \textit{stroke}: Stroke or stroke-like symptoms. \newline \textit{other\_medical}: Another medical condition or episode of the driver, such as dementia, dizziness, or an unspecified medical emergency. \newline \textit{none}: No driver medical event is described."
\texttt{drug\_class},choice,\texttt{drug\_involved},"Which category of drug or medication does the 'narrative' associate with a driver? Choose based only on what the narrative names. \newline \textit{marijuana}: Marijuana, THC, cannabis, or weed. \newline \textit{stimulant}: Methamphetamine, cocaine, amphetamines, or other stimulants. \newline \textit{opioid}: Heroin, fentanyl, oxycodone, hydrocodone, or other opioids. \newline \textit{sedative\_prescription}: Xanax, benzodiazepines, sleeping pills, muscle relaxers, or other prescription sedatives. \newline \textit{unspecified\_drug}: Drugs, narcotics, a controlled substance, or medication mentioned without naming the type. \newline \textit{none}: No drug or medication is mentioned."
\texttt{preg\_role},choice,\texttt{preg\_mentioned},"What was the role of the pregnant person in the crash according to the 'narrative'? \newline \textit{driver}: The pregnant person was driving one of the vehicles. \newline \textit{passenger}: The pregnant person was a passenger in one of the vehicles. \newline \textit{pedestrian\_or\_other}: The pregnant person was a pedestrian, cyclist, or otherwise not inside a vehicle. \newline \textit{no\_pregnancy}: The narrative does not state that anyone was pregnant."
\texttt{preg\_outcome},choice,\texttt{preg\_mentioned},"What does the 'narrative' state about the condition of the pregnant person after the crash? \newline \textit{no\_complaint}: The pregnant person reported no injury or the narrative gives no complaint. \newline \textit{pain\_or\_evaluation}: The pregnant person complained of pain, tightness, or discomfort, or was checked by EMS but not transported. \newline \textit{transported}: The pregnant person was transported to a hospital or medical facility as a precaution or for injury. \newline \textit{fetal\_harm}: The narrative states harm to, or loss of, the unborn child. \newline \textit{no\_pregnancy}: The narrative does not state that anyone was pregnant."
\texttt{preg\_stage},choice,\texttt{preg\_mentioned},"What stage of pregnancy does the 'narrative' state for the pregnant person? \newline \textit{early}: Up to 13 weeks, or 1 to 3 months pregnant, or described as first trimester or early pregnancy. \newline \textit{mid}: 14 to 27 weeks, or 4 to 6 months pregnant, or described as second trimester. \newline \textit{late}: 28 weeks or more, or 7 to 9 months pregnant, or described as third trimester, due soon, or full term. \newline \textit{stage\_not\_stated}: Pregnancy is stated but no weeks, months, or trimester is given. \newline \textit{no\_pregnancy}: The narrative does not state that anyone was pregnant."
\texttt{animal\_type},choice,\texttt{animal\_involved},"Which kind of animal does the 'narrative' describe as involved in the crash? \newline \textit{deer}: Deer. \newline \textit{dog}: Dog. \newline \textit{livestock}: Cow, cattle, horse, goat, or other livestock. \newline \textit{feral\_hog}: Hog, feral hog, wild boar, or pig. \newline \textit{other\_animal}: Any other animal, such as coyote, cat, or an unnamed animal. \newline \textit{none}: No animal is described as involved."
