variable,"[0,0.05)","[0.05,0.3)","[0.3,0.7)","[0.7,0.95)","[0.95,1]","pool_[0,0.05)","pool_[0.05,0.3)","pool_[0.3,0.7)","pool_[0.7,0.95)","pool_[0.95,1]"
preg_mentioned,632,3,0,0,5,149630,188,12,5,165
medical_episode,501,74,32,22,11,142628,5043,1137,574,618
drug_involved,538,72,10,4,16,145257,3632,389,268,454
alcohol_involved,522,48,17,16,37,141235,2961,554,426,4824
hydroplane,540,38,10,22,30,143774,2371,607,1013,2235
vehicle_defect,534,40,19,27,20,142196,3759,1333,1369,1343
fatigue,566,28,7,9,30,146711,1064,224,279,1722
aggression,499,70,37,24,10,133258,13975,1635,785,347
intentional,493,117,19,9,2,131571,17334,808,223,64
hit_and_run,414,59,40,50,77,117146,7412,2961,4783,17698
animal_involved,590,15,4,1,30,145892,934,232,131,2811
wrong_way,447,122,42,17,12,122341,23618,2745,874,422
phone_use,555,39,14,9,23,146294,1861,412,364,1069
unbelted,559,48,23,4,6,143926,4408,1172,265,229
transported,507,40,17,22,54,139735,2494,590,814,6367
witness_cited,384,143,43,44,26,115166,23790,4146,5489,1409
